  QueueTimes | ServiceTimes | SojournTimes

       0.072 |        0.567 |        0.639
       0.125 |        0.374 |        0.499
       0.118 |        0.718 |        0.836
       0.167 |        0.480 |        0.647
       0.070 |        0.863 |        0.934
       0.074 |        0.602 |        0.676
       0.087 |        0.340 |        0.427
       0.141 |        0.548 |        0.690
       0.093 |        0.857 |        0.950
       0.073 |        0.586 |        0.659
       0.094 |        1.233 |        1.328
       0.162 |        0.698 |        0.860
       0.109 |        0.840 |        0.948
       0.075 |        0.600 |        0.675
       0.187 |        0.770 |        0.957
       0.133 |        1.337 |        1.470
       0.074 |        0.540 |        0.614
       0.263 |        1.189 |        1.452
       0.131 |        1.512 |        1.643
       0.144 |        0.510 |        0.654
       0.087 |        0.696 |        0.782
       0.121 |        1.185 |        1.306
       0.141 |        0.390 |        0.531
       0.056 |        0.322 |        0.377
       0.084 |        1.838 |        1.922
       0.147 |        0.896 |        1.043
       0.108 |        2.480 |        2.587
       0.122 |        0.413 |        0.534
       0.106 |        0.359 |        0.465
       0.098 |        0.809 |        0.907
       0.095 |        0.848 |        0.943
       0.086 |        1.405 |        1.490
       0.095 |        0.817 |        0.912
       0.136 |        0.433 |        0.569
       0.101 |        1.042 |        1.143
       0.068 |        0.819 |        0.887
       0.060 |        0.831 |        0.891
       0.117 |        1.088 |        1.205
       0.141 |        0.389 |        0.530
       0.077 |        1.728 |        1.805
       0.083 |        3.309 |        3.391
       0.066 |        1.015 |        1.081
       0.062 |        2.777 |        2.839
       0.204 |        0.773 |        0.976
       0.235 |        0.567 |        0.802
       0.113 |        0.517 |        0.630
       0.097 |        1.042 |        1.140
       0.210 |        0.221 |        0.431
       0.080 |        0.616 |        0.695
       0.079 |        1.425 |        1.504
       0.105 |        0.787 |        0.892
       0.109 |        0.566 |        0.676
       0.077 |        0.745 |        0.822
       0.125 |        0.969 |        1.094
       0.062 |        1.765 |        1.827
       0.062 |        1.212 |        1.274
       0.149 |        2.614 |        2.764
       0.177 |        1.926 |        2.104
       0.087 |        0.630 |        0.718
       0.076 |        2.079 |        2.155
       0.258 |        0.553 |        0.811
       0.110 |        0.347 |        0.458
       0.079 |        2.763 |        2.842
       0.137 |        0.558 |        0.695
       0.254 |        1.084 |        1.338
       0.158 |        1.629 |        1.788
       0.155 |        0.657 |        0.813
       0.081 |        0.821 |        0.902
       0.130 |        0.537 |        0.666
       0.141 |        0.560 |        0.701
       0.066 |        2.101 |        2.167
       0.175 |        0.714 |        0.889
       0.169 |        0.490 |        0.660
       0.162 |        0.662 |        0.824
       0.157 |        0.855 |        1.012
       0.067 |        0.564 |        0.631
       0.163 |        1.767 |        1.930
       0.099 |        0.457 |        0.557
       0.069 |        0.482 |        0.551
       0.135 |        1.776 |        1.911
       0.165 |        1.082 |        1.247
       0.138 |        0.886 |        1.023
       0.140 |        0.673 |        0.813
       0.074 |        0.626 |        0.700
       0.126 |        1.707 |        1.833
       0.118 |        1.008 |        1.126
       0.186 |        1.189 |        1.375
       0.057 |        2.580 |        2.638
